years,sex,city_state,population,female_comparison,male_comparison,male_pop_2000,female_pop_2000,total_pop_2000,total_pop_2020,city_state_year,pop_increase,price_increase
2020,Both,Lexington-Fayette KY,322570,0.509,0.491,,,260512,322570,Lexington-Fayette KY 2020,1.238,
2000,Both,Lincoln NE,226082,0.502,0.498,112657,113425,226082,291082,Lincoln NE 2000,1.288,0.727483065
2000,Male,Lincoln NE,112657,0.502,0.498,112657,113425,226082,291082,Lincoln NE 2000,1.288,0.727483065
2000,Female,Lincoln NE,113425,0.502,0.498,112657,113425,226082,291082,Lincoln NE 2000,1.288,0.727483065
2020,Both,Lincoln NE,291082,0.502,0.498,,,226082,291082,Lincoln NE 2020,1.288,0.727483065
2000,Both,Little Rock AR,271732,0.525,0.475,128949,142783,271732,202591,Little Rock AR 2000,0.746,0.522758575
2000,Male,Little Rock AR,128949,0.525,0.475,128949,142783,271732,202591,Little Rock AR 2000,0.746,0.522758575
2000,Female,Little Rock AR,142783,0.525,0.475,128949,142783,271732,202591,Little Rock AR 2000,0.746,0.522758575
2020,Both,Little Rock AR,202591,0.525,0.475,,,271732,202591,Little Rock AR 2020,0.746,0.522758575
2000,Both,Livonia MI,100545,0.515,0.485,48718,51827,100545,,Livonia MI 2000,,0.295772791
2000,Male,Livonia MI,48718,0.515,0.485,48718,51827,100545,,Livonia MI 2000,,0.295772791
2000,Female,Livonia MI,51827,0.515,0.485,48718,51827,100545,,Livonia MI 2000,,0.295772791
2000,Both,Long Beach CA,461522,0.509,0.491,226718,234804,461522,466742,Long Beach CA 2000,1.011,2.087430922
2000,Male,Long Beach CA,226718,0.509,0.491,226718,234804,461522,466742,Long Beach CA 2000,1.011,2.087430922
2000,Female,Long Beach CA,234804,0.509,0.491,226718,234804,461522,466742,Long Beach CA 2000,1.011,2.087430922
2020,Both,Long Beach CA,466742,0.509,0.491,,,461522,466742,Long Beach CA 2020,1.011,2.087430922
2000,Both,Los Angeles CA,7742154,0.504,0.496,3838331,3903823,7742154,3898747,Los Angeles CA 2000,0.504,2.133724635
2000,Male,Los Angeles CA,3838331,0.504,0.496,3838331,3903823,7742154,3898747,Los Angeles CA 2000,0.504,2.133724635
2000,Female,Los Angeles CA,3903823,0.504,0.496,3838331,3903823,7742154,3898747,Los Angeles CA 2000,0.504,2.133724635
2020,Both,Los Angeles CA,3898747,0.504,0.496,,,7742154,3898747,Los Angeles CA 2020,0.504,2.133724635
2000,Both,Louisville KY,559907,0.523,0.477,267318,292589,559907,,Louisville KY 2000,,0.69074141
2000,Male,Louisville KY,267318,0.523,0.477,267318,292589,559907,,Louisville KY 2000,,0.69074141
2000,Female,Louisville KY,292589,0.523,0.477,267318,292589,559907,,Louisville KY 2000,,0.69074141
2000,Both,Lowell MA,105167,0.507,0.493,51807,53360,105167,115554,Lowell MA 2000,1.099,2.034525418
2000,Male,Lowell MA,51807,0.507,0.493,51807,53360,105167,115554,Lowell MA 2000,1.099,2.034525418
2000,Female,Lowell MA,53360,0.507,0.493,51807,53360,105167,115554,Lowell MA 2000,1.099,2.034525418
2020,Both,Lowell MA,115554,0.507,0.493,,,105167,115554,Lowell MA 2020,1.099,2.034525418
2000,Both,Lubbock TX,200895,0.513,0.487,97815,103080,200895,257141,Lubbock TX 2000,1.280,0.796450967
2000,Male,Lubbock TX,97815,0.513,0.487,97815,103080,200895,257141,Lubbock TX 2000,1.280,0.796450967
2000,Female,Lubbock TX,103080,0.513,0.487,97815,103080,200895,257141,Lubbock TX 2000,1.280,0.796450967
2020,Both,Lubbock TX,257141,0.513,0.487,,,200895,257141,Lubbock TX 2020,1.280,0.796450967
2000,Both,Madison WI,268794,0.509,0.491,132083,136711,268794,269840,Madison WI 2000,1.004,0.979442229
2000,Male,Madison WI,132083,0.509,0.491,132083,136711,268794,269840,Madison WI 2000,1.004,0.979442229
2000,Female,Madison WI,136711,0.509,0.491,132083,136711,268794,269840,Madison WI 2000,1.004,0.979442229
2020,Both,Madison WI,269840,0.509,0.491,,,268794,269840,Madison WI 2020,1.004,0.979442229
2000,Both,Manchester NH,125278,0.511,0.489,61320,63958,125278,115644,Manchester NH 2000,0.923,1.094428703
2000,Male,Manchester NH,61320,0.511,0.489,61320,63958,125278,115644,Manchester NH 2000,0.923,1.094428703
2000,Female,Manchester NH,63958,0.511,0.489,61320,63958,125278,115644,Manchester NH 2000,0.923,1.094428703
2020,Both,Manchester NH,115644,0.511,0.489,,,125278,115644,Manchester NH 2020,0.923,1.094428703
2000,Both,McAllen TX,314779,0.517,0.483,151941,162839,314780,142210,McAllen TX 2000,0.452,
2000,Male,McAllen TX,151941,0.517,0.483,151941,162839,314780,142210,McAllen TX 2000,0.452,
2000,Female,McAllen TX,162839,0.517,0.483,151941,162839,314780,142210,McAllen TX 2000,0.452,
2020,Both,McAllen TX,142210,0.517,0.483,,,314780,142210,McAllen TX 2020,0.452,
2000,Both,Memphis TN,811096,0.524,0.476,386004,425092,811096,633104,Memphis TN 2000,0.781,0.103087206
2000,Male,Memphis TN,386004,0.524,0.476,386004,425092,811096,633104,Memphis TN 2000,0.781,0.103087206
2000,Female,Memphis TN,425092,0.524,0.476,386004,425092,811096,633104,Memphis TN 2000,0.781,0.103087206
2020,Both,Memphis TN,633104,0.524,0.476,,,811096,633104,Memphis TN 2020,0.781,0.103087206
2000,Both,Mesa AZ,396375,0.505,0.495,196378,199997,396375,504258,Mesa AZ 2000,1.272,1.098647929
2000,Male,Mesa AZ,196378,0.505,0.495,196378,199997,396375,504258,Mesa AZ 2000,1.272,1.098647929
2000,Female,Mesa AZ,199997,0.505,0.495,196378,199997,396375,504258,Mesa AZ 2000,1.272,1.098647929
2020,Both,Mesa AZ,504258,0.505,0.495,,,396375,504258,Mesa AZ 2020,1.272,1.098647929
2000,Both,Mesquite TX,124523,0.518,0.482,59987,64536,124523,150108,Mesquite TX 2000,1.205,1.076195811
2000,Male,Mesquite TX,59987,0.518,0.482,59987,64536,124523,150108,Mesquite TX 2000,1.205,1.076195811
2000,Female,Mesquite TX,64536,0.518,0.482,59987,64536,124523,150108,Mesquite TX 2000,1.205,1.076195811
2020,Both,Mesquite TX,150108,0.518,0.482,,,124523,150108,Mesquite TX 2020,1.205,1.076195811
2000,Both,Miami FL,2640753,0.517,0.483,1275939,1364815,2640754,442241,Miami FL 2000,0.167,1.672492834
2000,Male,Miami FL,1275939,0.517,0.483,1275939,1364815,2640754,442241,Miami FL 2000,0.167,1.672492834
2000,Female,Miami FL,1364815,0.517,0.483,1275939,1364815,2640754,442241,Miami FL 2000,0.167,1.672492834
2020,Both,Miami FL,442241,0.517,0.483,,,2640754,442241,Miami FL 2020,0.167,1.672492834
2000,Both,Milwaukee WI,952944,0.519,0.481,458255,494689,952944,577222,Milwaukee WI 2000,0.606,0.606391607
2000,Male,Milwaukee WI,458255,0.519,0.481,458255,494689,952944,577222,Milwaukee WI 2000,0.606,0.606391607
2000,Female,Milwaukee WI,494689,0.519,0.481,458255,494689,952944,577222,Milwaukee WI 2000,0.606,0.606391607
2020,Both,Milwaukee WI,577222,0.519,0.481,,,952944,577222,Milwaukee WI 2020,0.606,0.606391607
2000,Both,Minneapolis MN,1385606,0.508,0.492,682327,703279,1385606,429954,Minneapolis MN 2000,0.310,1.258060302
2000,Male,Minneapolis MN,682327,0.508,0.492,682327,703279,1385606,429954,Minneapolis MN 2000,0.310,1.258060302
2000,Female,Minneapolis MN,703279,0.508,0.492,682327,703279,1385606,429954,Minneapolis MN 2000,0.310,1.258060302
2020,Both,Minneapolis MN,429954,0.508,0.492,,,1385606,429954,Minneapolis MN 2020,0.310,1.258060302
2000,Both,Mobile AL,258260,0.529,0.471,121591,136670,258261,187041,Mobile AL 2000,0.724,0.370499542
2000,Male,Mobile AL,121591,0.529,0.471,121591,136670,258261,187041,Mobile AL 2000,0.724,0.370499542
2000,Female,Mobile AL,136670,0.529,0.471,121591,136670,258261,187041,Mobile AL 2000,0.724,0.370499542
2020,Both,Mobile AL,187041,0.529,0.471,,,258261,187041,Mobile AL 2020,0.724,0.370499542
2000,Both,Modesto CA,249901,0.512,0.488,121982,127919,249901,218464,Modesto CA 2000,0.874,1.227434322
2000,Male,Modesto CA,121982,0.512,0.488,121982,127919,249901,218464,Modesto CA 2000,0.874,1.227434322
2000,Female,Modesto CA,127919,0.512,0.488,121982,127919,249901,218464,Modesto CA 2000,0.874,1.227434322
2020,Both,Modesto CA,218464,0.512,0.488,,,249901,218464,Modesto CA 2020,0.874,1.227434322
2000,Both,Montgomery AL,201568,0.531,0.469,94573,106995,201568,200603,Montgomery AL 2000,0.995,0.055682287
2000,Male,Montgomery AL,94573,0.531,0.469,94573,106995,201568,200603,Montgomery AL 2000,0.995,0.055682287
2000,Female,Montgomery AL,106995,0.531,0.469,94573,106995,201568,200603,Montgomery AL 2000,0.995,0.055682287
2020,Both,Montgomery AL,200603,0.531,0.469,,,201568,200603,Montgomery AL 2020,0.995,0.055682287
2000,Both,Moreno Valley CA,142381,0.511,0.489,69645,72736,142381,208634,Moreno Valley CA 2000,1.465,1.656433582
2000,Male,Moreno Valley CA,69645,0.511,0.489,69645,72736,142381,208634,Moreno Valley CA 2000,1.465,1.656433582
2000,Female,Moreno Valley CA,72736,0.511,0.489,69645,72736,142381,208634,Moreno Valley CA 2000,1.465,1.656433582
2020,Both,Moreno Valley CA,208634,0.511,0.489,,,142381,208634,Moreno Valley CA 2020,1.465,1.656433582
2000,Both,Naperville IL,128358,0.511,0.489,62831,65527,128358,149540,Naperville IL 2000,1.165,0.502502296
2000,Male,Naperville IL,62831,0.511,0.489,62831,65527,128358,149540,Naperville IL 2000,1.165,0.502502296
2000,Female,Naperville IL,65527,0.511,0.489,62831,65527,128358,149540,Naperville IL 2000,1.165,0.502502296
2020,Both,Naperville IL,149540,0.511,0.489,,,128358,149540,Naperville IL 2020,1.165,0.502502296
2000,Both,Nashville-Davidson TN,659913,0.516,0.484,319551,340362,659913,689447,Nashville-Davidson TN 2000,1.045,
2000,Male,Nashville-Davidson TN,319551,0.516,0.484,319551,340362,659913,689447,Nashville-Davidson TN 2000,1.045,
2000,Female,Nashville-Davidson TN,340362,0.516,0.484,319551,340362,659913,689447,Nashville-Davidson TN 2000,1.045,
2020,Both,Nashville-Davidson TN,689447,0.516,0.484,,,659913,689447,Nashville-Davidson TN 2020,1.045,
2000,Both,New Haven CT,327470,0.520,0.480,157124,170347,327471,134023,New Haven CT 2000,0.409,0.855707963
2000,Male,New Haven CT,157124,0.520,0.480,157124,170347,327471,134023,New Haven CT 2000,0.409,0.855707963
2000,Female,New Haven CT,170347,0.520,0.480,157124,170347,327471,134023,New Haven CT 2000,0.409,0.855707963
2020,Both,New Haven CT,134023,0.520,0.480,,,327471,134023,New Haven CT 2020,0.409,0.855707963
2000,Both,New Orleans LA,746979,0.527,0.473,352999,393980,746979,383997,New Orleans LA 2000,0.514,0.580322348
2000,Male,New Orleans LA,352999,0.527,0.473,352999,393980,746979,383997,New Orleans LA 2000,0.514,0.580322348
2000,Female,New Orleans LA,393980,0.527,0.473,352999,393980,746979,383997,New Orleans LA 2000,0.514,0.580322348
2020,Both,New Orleans LA,383997,0.527,0.473,,,746979,383997,New Orleans LA 2020,0.514,0.580322348
2000,Both,New York NY,12904070,0.522,0.478,6162603,6741467,12904070,8804190,New York NY 2000,0.682,1.520868186
2000,Male,New York NY,6162603,0.522,0.478,6162603,6741467,12904070,8804190,New York NY 2000,0.682,1.520868186
2000,Female,New York NY,6741467,0.522,0.478,6162603,6741467,12904070,8804190,New York NY 2000,0.682,1.520868186
2020,Both,New York NY,8804190,0.522,0.478,,,12904070,8804190,New York NY 2020,0.682,1.520868186
2000,Both,Newark NJ,273546,0.515,0.485,132701,140845,273546,311549,Newark NJ 2000,1.139,0.825977301
2000,Male,Newark NJ,132701,0.515,0.485,132701,140845,273546,311549,Newark NJ 2000,1.139,0.825977301
2000,Female,Newark NJ,140845,0.515,0.485,132701,140845,273546,311549,Newark NJ 2000,1.139,0.825977301
2020,Both,Newark NJ,311549,0.515,0.485,,,273546,311549,Newark NJ 2020,1.139,0.825977301
2000,Both,Newport News VA,180150,0.516,0.484,87178,92972,180150,186247,Newport News VA 2000,1.034,0.825281808
2000,Male,Newport News VA,87178,0.516,0.484,87178,92972,180150,186247,Newport News VA 2000,1.034,0.825281808
2000,Female,Newport News VA,92972,0.516,0.484,87178,92972,180150,186247,Newport News VA 2000,1.034,0.825281808
2020,Both,Newport News VA,186247,0.516,0.484,,,180150,186247,Newport News VA 2020,1.034,0.825281808
2000,Both,Norfolk VA,234403,0.489,0.511,119830,114573,234403,238005,Norfolk VA 2000,1.015,1.095196329
2000,Male,Norfolk VA,119830,0.489,0.511,119830,114573,234403,238005,Norfolk VA 2000,1.015,1.095196329
2000,Female,Norfolk VA,114573,0.489,0.511,119830,114573,234403,238005,Norfolk VA 2000,1.015,1.095196329
2020,Both,Norfolk VA,238005,0.489,0.511,,,234403,238005,Norfolk VA 2020,1.015,1.095196329
2000,Both,North Las Vegas NV,115488,0.490,0.510,58947,56541,115488,262527,North Las Vegas NV 2000,2.273,0.748676572
2000,Male,North Las Vegas NV,58947,0.490,0.510,58947,56541,115488,262527,North Las Vegas NV 2000,2.273,0.748676572
2000,Female,North Las Vegas NV,56541,0.490,0.510,58947,56541,115488,262527,North Las Vegas NV 2000,2.273,0.748676572
2020,Both,North Las Vegas NV,262527,0.490,0.510,,,115488,262527,North Las Vegas NV 2020,2.273,0.748676572
2000,Both,Norwalk CA,103298,0.505,0.495,51109,52189,103298,102773,Norwalk CA 2000,0.995,2.033297861
2000,Male,Norwalk CA,51109,0.505,0.495,51109,52189,103298,102773,Norwalk CA 2000,0.995,2.033297861
2000,Female,Norwalk CA,52189,0.505,0.495,51109,52189,103298,102773,Norwalk CA 2000,0.995,2.033297861
2020,Both,Norwalk CA,102773,0.505,0.495,,,103298,102773,Norwalk CA 2020,0.995,2.033297861
2000,Both,Oakland CA,399484,0.517,0.483,192757,206727,399484,440646,Oakland CA 2000,1.103,2.158500563
2000,Male,Oakland CA,192757,0.517,0.483,192757,206727,399484,440646,Oakland CA 2000,1.103,2.158500563
2000,Female,Oakland CA,206727,0.517,0.483,192757,206727,399484,440646,Oakland CA 2000,1.103,2.158500563
2020,Both,Oakland CA,440646,0.517,0.483,,,399484,440646,Oakland CA 2020,1.103,2.158500563
2000,Both,Oceanside CA,161029,0.505,0.495,79719,81310,161029,174068,Oceanside CA 2000,1.081,1.642632366
2000,Male,Oceanside CA,79719,0.505,0.495,79719,81310,161029,174068,Oceanside CA 2000,1.081,1.642632366
2000,Female,Oceanside CA,81310,0.505,0.495,79719,81310,161029,174068,Oceanside CA 2000,1.081,1.642632366
2020,Both,Oceanside CA,174068,0.505,0.495,,,161029,174068,Oceanside CA 2020,1.081,1.642632366
2000,Both,Oklahoma City OK,626568,0.514,0.486,304541,322027,626568,681054,Oklahoma City OK 2000,1.087,0.796843587
2000,Male,Oklahoma City OK,304541,0.514,0.486,304541,322027,626568,681054,Oklahoma City OK 2000,1.087,0.796843587
2000,Female,Oklahoma City OK,322027,0.514,0.486,304541,322027,626568,681054,Oklahoma City OK 2000,1.087,0.796843587
2020,Both,Oklahoma City OK,681054,0.514,0.486,,,626568,681054,Oklahoma City OK 2020,1.087,0.796843587
2000,Both,Omaha NE,508315,0.511,0.489,248385,259931,508316,486051,Omaha NE 2000,0.956,0.699434362
2000,Male,Omaha NE,248385,0.511,0.489,248385,259931,508316,486051,Omaha NE 2000,0.956,0.699434362
2000,Female,Omaha NE,259931,0.511,0.489,248385,259931,508316,486051,Omaha NE 2000,0.956,0.699434362
2020,Both,Omaha NE,486051,0.511,0.489,,,508316,486051,Omaha NE 2020,0.956,0.699434362
2000,Both,Ontario CA,158007,0.499,0.501,79225,78782,158007,175265,Ontario CA 2000,1.109,1.961889056
2000,Male,Ontario CA,79225,0.499,0.501,79225,78782,158007,175265,Ontario CA 2000,1.109,1.961889056
2000,Female,Ontario CA,78782,0.499,0.501,79225,78782,158007,175265,Ontario CA 2000,1.109,1.961889056
2020,Both,Ontario CA,175265,0.499,0.501,,,158007,175265,Ontario CA 2020,1.109,1.961889056
2000,Both,Orange CA,128821,0.498,0.502,64665,64156,128821,139911,Orange CA 2000,1.086,1.532217892
2000,Male,Orange CA,64665,0.498,0.502,64665,64156,128821,139911,Orange CA 2000,1.086,1.532217892
2000,Female,Orange CA,64156,0.498,0.502,64665,64156,128821,139911,Orange CA 2000,1.086,1.532217892
2020,Both,Orange CA,139911,0.498,0.502,,,128821,139911,Orange CA 2020,1.086,1.532217892
2000,Both,Orlando FL,671691,0.509,0.491,329887,341805,671692,307573,Orlando FL 2000,0.458,1.109516329
2000,Male,Orlando FL,329887,0.509,0.491,329887,341805,671692,307573,Orlando FL 2000,0.458,1.109516329
2000,Female,Orlando FL,341805,0.509,0.491,329887,341805,671692,307573,Orlando FL 2000,0.458,1.109516329
2020,Both,Orlando FL,307573,0.509,0.491,,,671692,307573,Orlando FL 2020,0.458,1.109516329
2000,Both,Overland Park KS,149080,0.516,0.484,72170,76910,149080,197238,Overland Park KS 2000,1.323,
2000,Male,Overland Park KS,72170,0.516,0.484,72170,76910,149080,197238,Overland Park KS 2000,1.323,
2000,Female,Overland Park KS,76910,0.516,0.484,72170,76910,149080,197238,Overland Park KS 2000,1.323,
2020,Both,Overland Park KS,197238,0.516,0.484,,,149080,197238,Overland Park KS 2020,1.323,
2000,Both,Oxnard CA,253975,0.493,0.507,128714,125261,253975,202063,Oxnard CA 2000,0.796,1.371947752
2000,Male,Oxnard CA,128714,0.493,0.507,128714,125261,253975,202063,Oxnard CA 2000,0.796,1.371947752
2000,Female,Oxnard CA,125261,0.493,0.507,128714,125261,253975,202063,Oxnard CA 2000,0.796,1.371947752
2020,Both,Oxnard CA,202063,0.493,0.507,,,253975,202063,Oxnard CA 2020,0.796,1.371947752
2000,Both,Palmdale CA,116670,0.509,0.491,57338,59332,116670,169450,Palmdale CA 2000,1.452,1.668620867
2000,Male,Palmdale CA,57338,0.509,0.491,57338,59332,116670,169450,Palmdale CA 2000,1.452,1.668620867
2000,Female,Palmdale CA,59332,0.509,0.491,57338,59332,116670,169450,Palmdale CA 2000,1.452,1.668620867
2020,Both,Palmdale CA,169450,0.509,0.491,,,116670,169450,Palmdale CA 2020,1.452,1.668620867
2000,Both,Pasadena CA,133936,0.511,0.489,65495,68441,133936,138699,Pasadena CA 2000,1.036,2.186825236
2000,Male,Pasadena CA,65495,0.511,0.489,65495,68441,133936,138699,Pasadena CA 2000,1.036,2.186825236
2000,Female,Pasadena CA,68441,0.511,0.489,65495,68441,133936,138699,Pasadena CA 2000,1.036,2.186825236
2020,Both,Pasadena CA,138699,0.511,0.489,,,133936,138699,Pasadena CA 2020,1.036,2.186825236
2000,Both,Pasadena TX,141674,0.500,0.500,70767,70907,141674,151950,Pasadena TX 2000,1.073,1.009665441
2000,Male,Pasadena TX,70767,0.500,0.500,70767,70907,141674,151950,Pasadena TX 2000,1.073,1.009665441
2000,Female,Pasadena TX,70907,0.500,0.500,70767,70907,141674,151950,Pasadena TX 2000,1.073,1.009665441
2020,Both,Pasadena TX,151950,0.500,0.500,,,141674,151950,Pasadena TX 2020,1.073,1.009665441
2000,Both,Paterson NJ,149222,0.514,0.486,72473,76749,149222,159732,Paterson NJ 2000,1.070,1.097398626
2000,Male,Paterson NJ,72473,0.514,0.486,72473,76749,149222,159732,Paterson NJ 2000,1.070,1.097398626
2000,Female,Paterson NJ,76749,0.514,0.486,72473,76749,149222,159732,Paterson NJ 2000,1.070,1.097398626
2020,Both,Paterson NJ,159732,0.514,0.486,,,149222,159732,Paterson NJ 2020,1.070,1.097398626
2000,Both,Pembroke Pines FL,137427,0.534,0.466,64044,73383,137427,171178,Pembroke Pines FL 2000,1.246,1.537437404
2000,Male,Pembroke Pines FL,64044,0.534,0.466,64044,73383,137427,171178,Pembroke Pines FL 2000,1.246,1.537437404
2000,Female,Pembroke Pines FL,73383,0.534,0.466,64044,73383,137427,171178,Pembroke Pines FL 2000,1.246,1.537437404
2020,Both,Pembroke Pines FL,171178,0.534,0.466,,,137427,171178,Pembroke Pines FL 2020,1.246,1.537437404
2000,Both,Peoria AZ,108364,0.520,0.480,52058,56306,108364,190985,Peoria AZ 2000,1.762,1.026261734
2000,Male,Peoria AZ,52058,0.520,0.480,52058,56306,108364,190985,Peoria AZ 2000,1.762,1.026261734
2000,Female,Peoria AZ,56306,0.520,0.480,52058,56306,108364,190985,Peoria AZ 2000,1.762,1.026261734
2020,Both,Peoria AZ,190985,0.520,0.480,,,108364,190985,Peoria AZ 2020,1.762,1.026261734
2000,Both,Peoria IL,180054,0.521,0.479,86218,93836,180054,113150,Peoria IL 2000,0.628,
2000,Male,Peoria IL,86218,0.521,0.479,86218,93836,180054,113150,Peoria IL 2000,0.628,
2000,Female,Peoria IL,93836,0.521,0.479,86218,93836,180054,113150,Peoria IL 2000,0.628,
2020,Both,Peoria IL,113150,0.521,0.479,,,180054,113150,Peoria IL 2020,0.628,
2000,Both,Philadelphia PA,3333315,0.525,0.475,1581841,1751474,3333315,1603797,Philadelphia PA 2000,0.481,1.580097139
2000,Male,Philadelphia PA,1581841,0.525,0.475,1581841,1751474,3333315,1603797,Philadelphia PA 2000,0.481,1.580097139
2000,Female,Philadelphia PA,1751474,0.525,0.475,1581841,1751474,3333315,1603797,Philadelphia PA 2000,0.481,1.580097139
2020,Both,Philadelphia PA,1603797,0.525,0.475,,,3333315,1603797,Philadelphia PA 2020,0.481,1.580097139
2000,Both,Phoenix AZ,2114047,0.498,0.502,1061610,1052438,2114048,1608139,Phoenix AZ 2000,0.761,1.16335227
2000,Male,Phoenix AZ,1061610,0.498,0.502,1061610,1052438,2114048,1608139,Phoenix AZ 2000,0.761,1.16335227
2000,Female,Phoenix AZ,1052438,0.498,0.502,1061610,1052438,2114048,1608139,Phoenix AZ 2000,0.761,1.16335227
2020,Both,Phoenix AZ,1608139,0.498,0.502,,,2114048,1608139,Phoenix AZ 2020,0.761,1.16335227
2000,Both,Pittsburgh PA,1043850,0.526,0.474,494957,548893,1043850,302971,Pittsburgh PA 2000,0.290,1.248605645
2000,Male,Pittsburgh PA,494957,0.526,0.474,494957,548893,1043850,302971,Pittsburgh PA 2000,0.290,1.248605645
2000,Female,Pittsburgh PA,548893,0.526,0.474,494957,548893,1043850,302971,Pittsburgh PA 2000,0.290,1.248605645
2020,Both,Pittsburgh PA,302971,0.526,0.474,,,1043850,302971,Pittsburgh PA 2020,0.290,1.248605645
2000,Both,Plano TX,222030,0.502,0.498,110619,111411,222030,285494,Plano TX 2000,1.286,0.749920903
2000,Male,Plano TX,110619,0.502,0.498,110619,111411,222030,285494,Plano TX 2000,1.286,0.749920903
2000,Female,Plano TX,111411,0.502,0.498,110619,111411,222030,285494,Plano TX 2000,1.286,0.749920903
2020,Both,Plano TX,285494,0.502,0.498,,,222030,285494,Plano TX 2020,1.286,0.749920903
2000,Both,Pomona CA,149473,0.494,0.506,75630,73843,149473,151713,Pomona CA 2000,1.015,1.959994816
2000,Male,Pomona CA,75630,0.494,0.506,75630,73843,149473,151713,Pomona CA 2000,1.015,1.959994816
2000,Female,Pomona CA,73843,0.494,0.506,75630,73843,149473,151713,Pomona CA 2000,1.015,1.959994816
2020,Both,Pomona CA,151713,0.494,0.506,,,149473,151713,Pomona CA 2020,1.015,1.959994816
2000,Both,Portland OR,1056130,0.506,0.494,521876,534254,1056130,652503,Portland OR 2000,0.618,1.689035885
2000,Male,Portland OR,521876,0.506,0.494,521876,534254,1056130,652503,Portland OR 2000,0.618,1.689035885
2000,Female,Portland OR,534254,0.506,0.494,521876,534254,1056130,652503,Portland OR 2000,0.618,1.689035885
2020,Both,Portland OR,652503,0.506,0.494,,,1056130,652503,Portland OR 2020,0.618,1.689035885
2000,Both,Portsmouth VA,100565,0.517,0.483,48583,51982,100565,,Portsmouth VA 2000,,1.213960719
2000,Male,Portsmouth VA,48583,0.517,0.483,48583,51982,100565,,Portsmouth VA 2000,,1.213960719
2000,Female,Portsmouth VA,51982,0.517,0.483,48583,51982,100565,,Portsmouth VA 2000,,1.213960719
2000,Both,Providence RI,674083,0.521,0.479,322794,351290,674084,190934,Providence RI 2000,0.283,1.191282647
2000,Male,Providence RI,322794,0.521,0.479,322794,351290,674084,190934,Providence RI 2000,0.283,1.191282647
2000,Female,Providence RI,351290,0.521,0.479,322794,351290,674084,190934,Providence RI 2000,0.283,1.191282647
2020,Both,Providence RI,190934,0.521,0.479,,,674084,190934,Providence RI 2020,0.283,1.191282647
2000,Both,Provo UT,204423,0.510,0.490,100156,104267,204423,115162,Provo UT 2000,0.563,
2000,Male,Provo UT,100156,0.510,0.490,100156,104267,204423,115162,Provo UT 2000,0.563,
2000,Female,Provo UT,104267,0.510,0.490,100156,104267,204423,115162,Provo UT 2000,0.563,
2020,Both,Provo UT,115162,0.510,0.490,,,204423,115162,Provo UT 2020,0.563,
2000,Both,Pueblo CO,112736,0.514,0.486,54762,57974,112736,111876,Pueblo CO 2000,0.992,0.863613305
2000,Male,Pueblo CO,54762,0.514,0.486,54762,57974,112736,111876,Pueblo CO 2000,0.992,0.863613305
2000,Female,Pueblo CO,57974,0.514,0.486,54762,57974,112736,111876,Pueblo CO 2000,0.992,0.863613305
2020,Both,Pueblo CO,111876,0.514,0.486,,,112736,111876,Pueblo CO 2020,0.992,0.863613305
2000,Both,Raleigh NC,408810,0.505,0.495,202448,206362,408810,467665,Raleigh NC 2000,1.144,0.6360051
2000,Male,Raleigh NC,202448,0.505,0.495,202448,206362,408810,467665,Raleigh NC 2000,1.144,0.6360051
2000,Female,Raleigh NC,206362,0.505,0.495,202448,206362,408810,467665,Raleigh NC 2000,1.144,0.6360051
2020,Both,Raleigh NC,467665,0.505,0.495,,,408810,467665,Raleigh NC 2020,1.144,0.6360051
2000,Both,Rancho Cucamonga CA,127743,0.500,0.500,63895,63848,127743,174453,Rancho Cucamonga CA 2000,1.366,1.700724469
2000,Male,Rancho Cucamonga CA,63895,0.500,0.500,63895,63848,127743,174453,Rancho Cucamonga CA 2000,1.366,1.700724469
2000,Female,Rancho Cucamonga CA,63848,0.500,0.500,63895,63848,127743,174453,Rancho Cucamonga CA 2000,1.366,1.700724469
2020,Both,Rancho Cucamonga CA,174453,0.500,0.500,,,127743,174453,Rancho Cucamonga CA 2020,1.366,1.700724469
2000,Both,Reno NV,242085,0.492,0.508,123003,119082,242085,264165,Reno NV 2000,1.091,1.20532102
2000,Male,Reno NV,123003,0.492,0.508,123003,119082,242085,264165,Reno NV 2000,1.091,1.20532102
2000,Female,Reno NV,119082,0.492,0.508,123003,119082,242085,264165,Reno NV 2000,1.091,1.20532102
2020,Both,Reno NV,264165,0.492,0.508,,,242085,264165,Reno NV 2020,1.091,1.20532102
2000,Both,Richmond VA,508313,0.528,0.472,240075,268238,508313,226610,Richmond VA 2000,0.446,1.205661349
2000,Male,Richmond VA,240075,0.528,0.472,240075,268238,508313,226610,Richmond VA 2000,0.446,1.205661349
2000,Female,Richmond VA,268238,0.528,0.472,240075,268238,508313,226610,Richmond VA 2000,0.446,1.205661349
2020,Both,Richmond VA,226610,0.528,0.472,,,508313,226610,Richmond VA 2020,0.446,1.205661349
2000,Both,Riverside CA,880991,0.506,0.494,434975,446016,880991,314998,Riverside CA 2000,0.358,1.58525658
2000,Male,Riverside CA,434975,0.506,0.494,434975,446016,880991,314998,Riverside CA 2000,0.358,1.58525658
2000,Female,Riverside CA,446016,0.506,0.494,434975,446016,880991,314998,Riverside CA 2000,0.358,1.58525658
2020,Both,Riverside CA,314998,0.506,0.494,,,880991,314998,Riverside CA 2020,0.358,1.58525658
